broadcasted_at,fee_price,mined_at
17768997,100010,
64835643,100010,
24814325,100010,
85664214,100010,
81371931,100010,
70250761,100010,
63000322,100010,
64247317,100010,
54617970,100010,
70870722,100010,
19035597,100010,
47208706,100010,
81835120,100010,
78302155,100010,
83526156,100010,
86140485,100010,
28338982,100010,
53000588,100010,
42469513,100010,
78930383,100010,
83461707,100010,
86068289,100010,
84848372,100010,
48946584,100010,
75905081,100010,
16579285,100010,
82298021,100010,
82880577,100010,
48310626,100010,
22047647,100010,
22757713,100010,
21775719,100010,
75209277,100010,
73810527,100010,
36479488,100010,
85272142,100010,
41781024,100010,
44910564,100010,
43707053,100010,
84667363,100010,
50251277,100010,
84647112,100010,
46097054,100010,
52812714,100010,
44264974,100010,
49588965,100010,
41286023,100010,
41280350,100010,
21392881,100010,
28696022,100010,
23085814,100010,
80435911,100010,
79317868,100010,
53879055,100010,
25197724,100010,
22697614,100010,
43466885,100010,
44149655,100010,
56249163,100010,
22032613,100010,
49439595,100010,
20517085,100010,
23945213,100010,
58223620,100010,
60138667,100010,
56187227,100010,
61926918,100010,
47481005,100010,
54837781,100010,
57181074,100010,
53785318,100010,
66815382,100010,
68129081,100010,
73760814,100010,
18930143,100010,
35528570,100010,
69875144,100010,
23908292,100010,
22558419,100010,
16737069,100010,
70479060,100010,
81583286,100010,
47946405,100010,
28485540,100010,
18671816,100010,
64410165,100010,
83928963,100010,
68566472,100010,
84587274,100010,
82049781,100010,
54197025,100010,
67283675,100010,
66060870,100010,
64975181,100010,
70298805,100010,
69014744,100010,
65541128,100010,
64406441,100010,
55359544,100010,
56433926,100010,
32698594,100010,
50943369,100010,
35217565,100010,
25008500,100010,
40480906,100010,
20580878,100010,
39343016,100010,
53555598,100010,
23537939,100010,
40999222,100010,
35772167,100010,
36769317,100010,
16200111,100010,
37313284,100010,
59995840,100010,
31278605,100010,
38607053,100010,
19622715,100010,
37789807,100010,
61107802,100010,
59915595,100010,
59331774,100010,
59333429,100010,
31971738,100010,
39705905,100010,
29754537,100010,
31691510,100010,
59836972,100010,
27554414,100010,
57514861,100010,
58495465,100010,
26045686,100010,
16428813,100010,
21883410,100010,
23202013,100010,
15967820,100010,
38439711,100010,
16008827,100010,
65869627,100010,
55049839,100010,
62091517,100010,
35607235,100010,
62058266,100010,
65827846,100010,
68760966,100010,
21204387,100010,
63315892,100010,
17009863,100010,
65768148,100010,
34803394,100010,
15514014,100010,
69886113,100011,
67446666,100011,
58867139,100011,
65165548,100011,
21552578,100011,
54962556,100011,
66756859,100011,
28070310,100011,
61874290,100011,
17676992,100011,
24520352,100011,
70355333,100011,
18311256,100011,
65061146,100011,
55564288,100011,
76793141,100011,
59434720,100011,
17092008,100011,
16824070,100011,
54872369,100011,
77315366,100011,
14726757,100011,
21760254,100011,
72907067,100011,
57113415,100011,
76168227,100011,
54818140,100011,
54321303,100011,
84475498,100011,
25594899,100011,
80339218,100011,
24477853,100011,
35417247,100011,
79738423,100011,
53758097,100011,
86148909,100011,
84400417,100011,
47945277,100011,
54242619,100011,
77139141,100011,
79027207,100011,
52714731,100011,
81249145,100011,
75934182,100011,
84795235,100011,
19815821,100011,
81756422,100011,
72764633,100011,
80175617,100011,
81192222,100011,
79652210,100011,
56412005,100011,
77039376,100011,
52706858,100011,
75862194,100011,
22561313,100011,
55283853,100011,
78146792,100011,
85825314,100011,
72005151,100011,
75202739,100011,
78114544,100011,
29814758,100011,
5186975,100011,
72658198,100011,
37199474,100011,
78096427,100011,
75156530,100011,
30027194,100011,
78636991,100011,
79333653,100011,
33136369,100011,
49158423,100011,
50870760,100011,
54105160,100011,
2224430,100011,
74411486,100011,
44995539,100011,
32614189,100011,
51386721,100011,
27781861,100011,
49045246,100011,
34993155,100011,
62391458,100011,
41360404,100011,
51902400,100011,
60383294,100011,
58564072,100011,
39556042,100011,
34383770,100011,
65896889,100011,
65875143,100011,
68286491,100011,
31952287,100011,
60907409,100011,
17388470,100011,
65301543,100011,
66941717,100011,
70646651,100011,
49703746,100011,
38444880,100011,
24945573,100011,
62827279,100011,
58433632,100011,
58434398,100011,
62780840,100011,
27732858,100011,
60214672,100011,
15841739,100011,
28349392,100011,
59602991,100011,
16852460,100011,
43633810,100011,
34710643,100011,
39429834,100011,
24860810,100011,
17584650,100011,
26945031,100011,
30855809,100011,
21885478,100011,
39842041,100011,
39838080,100011,
41586529,100011,
34622744,100011,
46385263,100011,
46415860,100011,
49321354,100011,
23199709,100011,
45118638,100011,
5476129,100011,
28843971,100011,
14915587,100011,
28802161,100011,
35253652,100011,
25440201,100011,
37396211,100011,
23691888,100011,
33291377,100011,
36771679,100011,
41454137,100011,
30142327,100011,
46222765,100011,
33250484,100011,
46204035,100011,
15972266,100011,
29481500,100011,
1104544,100011,
20442604,100011,
974711,100011,
39102233,100012,
2792923,100012,
23623518,100012,
